"","YEAR","WEEK","subtype","inci"
"469",2007,1,"inci.A.H1",349201.510000477
"470",2007,1,"inci.A.H3",38193.9151563021
"471",2007,1,"inci.B",87214.6768677565
"472",2007,2,"inci.A.H1",369649.082021481
"473",2007,2,"inci.A.H3",71876.2103930658
"474",2007,2,"inci.B",74746.4077709666
"475",2007,3,"inci.A.H1",492589.010339854
"476",2007,3,"inci.A.H3",124562.73824686
"477",2007,3,"inci.B",77385.7991958262
"478",2007,4,"inci.A.H1",919923.827271705
"479",2007,4,"inci.A.H3",255204.674662473
"480",2007,4,"inci.B",156548.26063829
"481",2007,5,"inci.A.H1",1309368.64468494
"482",2007,5,"inci.A.H3",381750.531284165
"483",2007,5,"inci.B",208564.515626809
"484",2007,6,"inci.A.H1",1745343.1409283
"485",2007,6,"inci.A.H3",467063.657431517
"486",2007,6,"inci.B",428712.491337051
"487",2007,7,"inci.A.H1",1614800.7462116
"488",2007,7,"inci.A.H3",499461.626153819
"489",2007,7,"inci.B",417433.861843385
"490",2007,8,"inci.A.H1",1157109.47795948
"491",2007,8,"inci.A.H3",607774.675291846
"492",2007,8,"inci.B",504252.615214663
"493",2007,9,"inci.A.H1",677357.446613696
"494",2007,9,"inci.A.H3",647028.00870562
"495",2007,9,"inci.B",520666.190440045
"496",2007,10,"inci.A.H1",491969.568580795
"497",2007,10,"inci.A.H3",579301.444660226
"498",2007,10,"inci.B",449952.972496229
"499",2007,11,"inci.A.H1",403229.078454983
"500",2007,11,"inci.A.H3",567812.375783548
"501",2007,11,"inci.B",452381.175864105
"502",2007,12,"inci.A.H1",185683.973909936
"503",2007,12,"inci.A.H3",471351.626079069
"504",2007,12,"inci.B",336263.712060947
"505",2007,13,"inci.A.H1",121135.81754742
"506",2007,13,"inci.A.H3",355194.854842435
"507",2007,13,"inci.B",181418.360783862
"508",2007,14,"inci.A.H1",78112.0045111095
"509",2007,14,"inci.A.H3",239070.07441279
"510",2007,14,"inci.B",136686.19975726
"511",2007,15,"inci.A.H1",51721.4070337292
"512",2007,15,"inci.A.H3",310328.442202375
"513",2007,15,"inci.B",135165.277048146
"514",2007,16,"inci.A.H1",48549.7442481282
"515",2007,16,"inci.A.H3",218473.849116577
"516",2007,16,"inci.B",74071.6132278805
"517",2007,17,"inci.A.H1",35937.0066553145
"518",2007,17,"inci.A.H3",203643.037713449
"519",2007,17,"inci.B",72086.0310490085
"520",2007,18,"inci.A.H1",22266.4967727283
"521",2007,18,"inci.A.H3",120239.082572733
"522",2007,18,"inci.B",54287.8397506519
"523",2007,19,"inci.A.H1",15701.4679195194
"524",2007,19,"inci.A.H3",85236.5401345336
"525",2007,19,"inci.B",43586.8671142501
"526",2007,20,"inci.A.H1",8254.43843999486
"527",2007,20,"inci.A.H3",63284.0280399606
"528",2007,20,"inci.B",29715.9783839815
"529",2007,21,"inci.A.H1",10387.6785573176
"530",2007,21,"inci.A.H3",83101.4284585411
"531",2007,21,"inci.B",18697.8214031717
"532",2007,22,"inci.A.H1",7739.9519273548
"533",2007,22,"inci.A.H3",27089.8317457418
"534",2007,22,"inci.B",14927.0501456128
"535",2007,23,"inci.A.H1",3583.1171517948
"536",2007,23,"inci.A.H3",17915.585758974
"537",2007,23,"inci.B",5374.67572769221
"538",2007,24,"inci.A.H1",0
"539",2007,24,"inci.A.H3",27691.7029505901
"540",2007,24,"inci.B",10202.2063502174
"541",2007,25,"inci.A.H1",7010.32391980701
"542",2007,25,"inci.A.H3",2336.77463993567
"543",2007,25,"inci.B",3115.69951991422
"544",2007,26,"inci.A.H1",0
"545",2007,26,"inci.A.H3",17259.991170632
"546",2007,26,"inci.B",6276.36042568436
"547",2007,27,"inci.A.H1",9260.7387003459
"548",2007,27,"inci.A.H3",13891.1080505189
"549",2007,27,"inci.B",8904.55644264029
"550",2007,28,"inci.A.H1",9627.63371132902
"551",2007,28,"inci.A.H3",19255.267422658
"552",2007,28,"inci.B",2750.75248895115
"553",2007,29,"inci.A.H1",13116.4360933583
"554",2007,29,"inci.A.H3",9837.32707001871
"555",2007,29,"inci.B",1530.25087755847
"556",2007,30,"inci.A.H1",39860.8347627252
"557",2007,30,"inci.A.H3",19930.4173813626
"558",2007,30,"inci.B",3416.64297966216
"559",2007,31,"inci.A.H1",7270.91101421066
"560",2007,31,"inci.A.H3",21812.733042632
"561",2007,31,"inci.B",2643.96764153115
"562",2007,32,"inci.A.H1",31471.0907822779
"563",2007,32,"inci.A.H3",14305.0412646718
"564",2007,32,"inci.B",6103.48427292661
"565",2007,33,"inci.A.H1",24587.8252097217
"566",2007,33,"inci.A.H3",7025.09291706334
"567",2007,33,"inci.B",0
"568",2007,34,"inci.A.H1",38974.0084155423
"569",2007,34,"inci.A.H3",0
"570",2007,34,"inci.B",1771.54583707011
"571",2007,35,"inci.A.H1",41220.9351482922
"572",2007,35,"inci.A.H3",0
"573",2007,35,"inci.B",12545.5020016542
"574",2007,36,"inci.A.H1",54952.6768224115
"575",2007,36,"inci.A.H3",0
"576",2007,36,"inci.B",0
"577",2007,37,"inci.A.H1",42250.3259181744
"578",2007,37,"inci.A.H3",3017.88042272674
"579",2007,37,"inci.B",13777.280190709
"580",2007,38,"inci.A.H1",71908.0751202085
"581",2007,38,"inci.A.H3",6537.09773820078
"582",2007,38,"inci.B",8716.13031760104
"583",2007,39,"inci.A.H1",35036.2300347503
"584",2007,39,"inci.A.H3",11678.7433449168
"585",2007,39,"inci.B",0
"586",2007,40,"inci.A.H1",47429.2069786444
"587",2007,40,"inci.A.H3",5579.90670336993
"588",2007,40,"inci.B",6796.04021564286
"589",2007,41,"inci.A.H1",55159.2225320556
"590",2007,41,"inci.A.H3",8709.35092611404
"591",2007,41,"inci.B",0
"592",2007,42,"inci.A.H1",52097.7951715284
"593",2007,42,"inci.A.H3",6512.22439644105
"594",2007,42,"inci.B",2548.2617203465
"595",2007,43,"inci.A.H1",51677.7450516766
"596",2007,43,"inci.A.H3",6459.71813145958
"597",2007,43,"inci.B",6459.71813145958
"598",2007,44,"inci.A.H1",76999.9163058066
"599",2007,44,"inci.A.H3",0
"600",2007,44,"inci.B",13444.4298311726
"601",2007,45,"inci.A.H1",56859.0356179304
